Nome do Serviço,Notes,Categorias,Ativo?,Solicitações,Mais procurado?,Destaque,Contador,Prestadores,Validade plano
"
Academia
","
Espaços para musculação, exercícios físicos, aulas coletivas, condicionamento e saúde.
","""
Clubes, Esportes e Lazer
""",checked,,,,,Paulo,
"
Academia Terapêutica
","
Atividades físicas acompanhadas com foco em saúde, reabilitação, mobilidade e qualidade de vida.
","""
Saúde e bem-estar
""",checked,,,,,Ricardo,
"
Açaí e Sorvetes
","
Venda de açaí, sorvetes, milk-shakes, picolés e sobremesas geladas.
","""
Gastronomia
""",checked,,,,,Marta,
"
Acessórios
","
Venda de bolsas, cintos, bijuterias, relógios, semijoias e itens complementares de moda.
","""
Comércio Local
""",checked,,,,,José,
"
Ações Sociais
","
Projetos, campanhas e iniciativas de apoio comunitário, doações e assistência social.
","""
Religião, Comunidade e Ações Sociais
""",checked,,,,,Alexandre,
"
Adestramento
","
Treinamento comportamental, obediência e correção de hábitos dos animais.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,Pedro,
"
Administração de Aluguéis
","
Gestão de contratos, cobranças, vistorias e relacionamento entre proprietário e inquilino.
","""
Imóveis e Moradia
""",checked,,,,,Daniel,
"
Adubos, Insumos e Biológicos
","
Venda de fertilizantes, defensivos, adjuvantes, sementes, produtos biológicos e insumos para lavouras.
","""
Agronegócios
""",checked,,,,,TIago,
"
Agência de Marketing
","
Planejamento, campanhas, posicionamento, gestão de marca e ações para divulgação de negócios.
","""
Marketing e Mídia
""",checked,,,,,Maria,
"
Agência de Viagens
","
Pacotes, passagens, hospedagens, roteiros, excursões e planejamento de viagens.
","""
Turismo e Experiências
""",checked,,,,,João,
"
Agricultura de Precisão
","
Mapeamento, taxa variável, piloto automático, telemetria, sensores e tecnologia para aumentar a eficiência no campo.
","""
Agronegócios
""",checked,,,,,Gustavo,
"
Alarmes
","
Sistemas de alarme, sensores, sirenes, centrais e monitoramento de imóveis.
","""
Segurança e Monitoramento
""",checked,,,,,"Rafael,Weslley",
"
Alinhamento e Balanceamento
","
Serviços de alinhamento, balanceamento, suspensão, cambagem e manutenção preventiva.
","""
Serviços para Veículos
""",checked,,,,,,
"
Aluguel de Imóveis
","
Intermediação e divulgação de casas, apartamentos, salas, galpões, lotes e imóveis rurais para locação.
","""
Imóveis e Moradia
""",checked,,,,,Chico,
"
Aluguel de Mesas e Cadeiras
","
Locação de mesas, cadeiras, toalhas, móveis, utensílios e estruturas para eventos.
","""
Festas e Eventos
""",checked,,,,,Sebastião,
"
Aluguel de Veículos
","
Locação de carros, caminhonetes, vans e veículos para uso pessoal, empresarial ou turístico.
","""
Serviços para Veículos
""",checked,,,,,Euzemario,
"
Análise de Solo
","
Coleta, envio e interpretação de análises para correção, adubação e melhoria da fertilidade do solo.
","""
Agronegócios
""",checked,,,,,Deuzeli,
"
Animadores
","
Recreadores, personagens, monitores e atrações para festas infantis e eventos.
","""
Festas e Eventos
""",checked,,,,,Ubiratan,
"
Aplicativos
","
Desenvolvimento, configuração ou suporte para aplicativos móveis e soluções digitais.
","""
Tecnologia
""",checked,,,,,Reinaldo,
"
Ar Condicionado
","
Venda, instalação, manutenção, limpeza e reparo de aparelhos de ar-condicionado.
","""
Serviços Técnicos
""",checked,,,,,Gustavo,
"
Arquitetura
","
Projetos arquitetônicos, acompanhamento de obras, regularização, reformas e planejamento de espaços.
","""
Construção, Energia e Engenharia
""",checked,,,,,Mariana,
"
Artes Marciais
","
Aulas de luta, defesa pessoal, jiu-jitsu, judô, muay thai, karatê e modalidades similares.
","""
Clubes, Esportes e Lazer
""",checked,,,,,Rafael,
"
Assessoria de Imprensa
","
Divulgação de empresas, eventos, autoridades, marcas e ações junto à mídia.
","""
Marketing e Mídia
""",checked,,,,,Weslley,
"
Assistência Técnica em Eletrodomésticos
","
Conserto e manutenção de geladeiras, máquinas de lavar, fogões, micro-ondas e equipamentos domésticos.
","""
Serviços Técnicos
""",checked,,,,,Chico,
"
Assistência Técnica em Eletrônicos
","
Reparo de televisores, aparelhos de som, controles, placas, eletrônicos e equipamentos diversos.
","""
Serviços Técnicos
""",checked,,,,,Sebastião,
"
Assistência Técnica Rural
","
Acompanhamento técnico para lavouras, pecuária, propriedades rurais e tomada de decisão no campo.
","""
Agronegócios
""",checked,,,,,Euzemario,
"
Associações Comerciais
","
Entidades de apoio ao comércio, empresários, empreendedores e desenvolvimento local.
","""
Serviços Públicos, Associações e Entidades
""",checked,,,,,Deuzeli,
"
Associações Comunitárias
","
Organizações locais voltadas à representação, apoio e desenvolvimento de bairros ou grupos.
","""
Religião, Comunidade e Ações Sociais
""",checked,,,,,Ubiratan,
"
Aulas de Dança
","
Aulas de dança de salão, ritmos, ballet, sertanejo, dança fitness e outras modalidades.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Aulas Particulares
","
Reforço escolar, acompanhamento individual e preparação para provas e atividades acadêmicas.
","""
Educação e Cultura
""",checked,,,,,,
"
Auto Elétrica Agrícola
","
Manutenção elétrica em máquinas agrícolas, tratores, colheitadeiras, pulverizadores e implementos.
","""
Agronegócios
""",checked,,,,,"ENERGY SOLUÇÕES SOLAR,Pedro Atílio,Ricardo",
"
Auto Elétrica Leve
","
Manutenção elétrica em carros, motos, caminhonetes, baterias, alternadores, arranques e sistemas automotivos.
","""
Serviços para Veículos
""",checked,,,,,Duilio,
"
Autoescola
","
Formação de condutores, renovação de CNH, aulas práticas, aulas teóricas e processos de habilitação.
","""
Educação e Cultura
""",checked,,,,,Adriel,
"
Automação Comercial
","
Sistemas para lojas, restaurantes, mercados, emissão fiscal, estoque e atendimento.
","""
Tecnologia
""",checked,,,,,Lucio,
"
Automação Elétrica Industrial
","
Automação de máquinas, painéis, comandos elétricos, sensores e processos industriais.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,Euripedes,
"
Autopeças
","
Venda de peças, acessórios e componentes para veículos leves, pesados e agrícolas.
","""
Serviços para Veículos
""",checked,,,,,Jose Mota,
"
Avaliação Imobiliária
","
Avaliação de preço, laudos e estimativas para venda, compra, garantia ou financiamento.
","""
Imóveis e Moradia
""",checked,,,,,Ze do Fole,
"
Backup e Recuperação de Dados
","
Recuperação de arquivos, HDs, notebooks, servidores e soluções de backup.
","""
Tecnologia
""",checked,,,,,Leonardo,
"
Bancos e Correspondentes Bancários
","
Atendimento financeiro, contas, empréstimos, pagamentos e serviços bancários.
","""
Serviços Financeiros, Seguros
""",checked,,,,,Chinelinho,
"
Bandas e Músicos
","
Apresentações musicais para festas, cerimônias, bares, eventos corporativos e celebrações.
","""
Festas e Eventos
""",checked,,,,,,
"
Banho e Tosa
","
Higiene, banho, tosa, hidratação e cuidados estéticos para pets.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Bares
","
Estabelecimentos com bebidas, petiscos, música, encontros e opções de lazer gastronômico.
","""
Gastronomia
""",checked,,,,,,
"
Bartender
","
Drinks, coquetéis, bar móvel e atendimento especializado para festas e eventos.
","""
Festas e Eventos
""",checked,,,,,,
"
Bolos e Doces
","
Produção de bolos, doces personalizados, sobremesas e lembranças comestíveis.
","""
Festas e Eventos
""",checked,,,,,,
"
Borracharia
","
Troca, conserto e calibragem de pneus para carros, motos, caminhonetes, caminhões e máquinas.
","""
Serviços para Veículos
""",checked,,,,,,
"
Brinquedos
","
Lojas de brinquedos, jogos, presentes infantis e artigos para crianças.
","""
Comércio Local
""",checked,,,,,,
"
Brinquedos Infláveis
","
Locação de brinquedos, pula-pula, cama elástica, touro mecânico e recreação infantil.
","""
Festas e Eventos
""",checked,,,,,,
"
Buffet
","
Serviço de alimentação, cardápios, montagem e atendimento para festas e eventos.
","""
Festas e Eventos
""",checked,,,,,,
"
Cafeterias
","
Cafés especiais, doces, salgados, encontros e ambientes para trabalho ou lazer.
","""
Gastronomia
""",checked,,,,,,
"
Calçados
","
Venda de botas, tênis, sandálias, chinelos, sapatos e acessórios para calçados.
","""
Comércio Local
""",checked,,,,,,
"
Caldeiraria
","
Fabricação e manutenção de estruturas metálicas, tanques, tubulações e peças industriais.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Calhas e Rufos
","
Instalação e manutenção de calhas, rufos, condutores e soluções para telhados.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Câmeras e Monitoramento Online
","
Instalação e configuração de câmeras conectadas, acesso remoto e gravação em nuvem.
","""
Tecnologia
""",checked,,,,,,
"
Campanhas Solidárias
","
Mobilizações para arrecadação, apoio emergencial, doações e causas sociais.
","""
Religião, Comunidade e Ações Sociais
""",checked,,,,,,
"
Carretos
","
Serviços rápidos de transporte com caminhonetes, caminhões pequenos ou utilitários.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Celulares e Informática
","
Conserto de celulares, computadores, notebooks, formatação, manutenção e venda de acessórios.
","""
Serviços Técnicos
""",checked,,,,,,
"
Cerca Elétrica
","
Instalação e manutenção de cercas elétricas para residências, empresas e propriedades.
","""
Segurança e Monitoramento
""",checked,,,,,,
"
Cercas, Currais e Estruturas Rurais
","
Construção e manutenção de cercas, currais, porteiras, barracões e estruturas para propriedades rurais.
","""
Agronegócios
""",checked,,,,,,
"
Cerimonialista
","
Organização, planejamento e condução de casamentos, formaturas, aniversários e eventos.
","""
Festas e Eventos
""",checked,,,,,,
"
Chácaras e Fazendas à Venda
","
Anúncios e intermediação de imóveis rurais, chácaras, sítios e fazendas.
","""
Imóveis e Moradia
""",checked,,,,,,
"
Chaveiro
","
Cópias de chaves, abertura de portas, troca de fechaduras e atendimento emergencial.
","""
Serviços Residenciais
""",checked,,,,,,
"
Churrascarias
","
Restaurantes especializados em carnes, churrasco, rodízio ou pratos executivos.
","""
Gastronomia
""",checked,,,,,,
"
Churrasqueiro
","
Profissional para preparo e serviço de churrasco em festas, eventos e confraternizações.
","""
Festas e Eventos
""",checked,,,,,,
"
Ciclismo
","
Grupos, lojas, oficinas, acessórios e serviços relacionados à prática de ciclismo.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Clínica Veterinária
","
Consultas, vacinas, exames, cirurgias e atendimento veterinário para animais de companhia.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Clínicas de Imagem
","
Raio-X, ultrassom, tomografia, ressonância e exames de diagnóstico por imagem.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Clubes
","
Clubes sociais, recreativos, esportivos e espaços com estrutura de lazer para associados e visitantes.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Combustível
","
Postos de combustíveis, troca de óleo, conveniência e serviços rápidos para veículos.
","""
Comércio Local
""",checked,,,,,,
"
Comida Fitness e Saudável
","
Refeições equilibradas, marmitas fitness, alimentação natural e opções saudáveis.
","""
Gastronomia
""",checked,,,,,,
"
Comida Japonesa
","
Sushis, sashimis, temakis, pratos orientais e opções de culinária japonesa.
","""
Gastronomia
""",checked,,,,,,
"
Compra e Venda de Gado
","
Intermediação, comercialização e apoio na compra e venda de bovinos e outros animais.
","""
Agronegócios
""",checked,,,,,,
"
Comunicação via Rádio
","
Instalação, venda e manutenção de rádios comunicadores, antenas e sistemas de comunicação.
","""
Serviços Técnicos
""",checked,,,,,,
"
Comunicação Visual
","
Fachadas, placas, adesivos, banners, sinalização, plotagens e materiais visuais para empresas.
","""
Marketing e Mídia
""",checked,,,,,,
"
Conselhos e Entidades de Classe
","
Organizações representativas de categorias profissionais, conselhos e entidades reguladoras.
","""
Serviços Públicos, Associações e Entidades
""",checked,,,,,,
"
Consórcios
","
Planos de consórcio para veículos, imóveis, máquinas, serviços e bens diversos.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Consórcios e Financiamentos
","
Soluções de crédito, consórcios e financiamentos para pessoas, empresas e produtores.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
